,last_price,previous_price,date,percent_from_previous,action_type,raw.high,raw.low,raw.vol,raw.last,raw.buy,raw.sell,raw.open,raw.date,sma.low_period,sma.high_period,sma.low_previous,sma.low_current,sma.high_previous,sma.high_current,sma.low,sma.high
0,320000.0,0,10/03/2021 20:23:16,0,none,325000.00000000,303000.00000000,339.18199774,320000.00000000,319850.08226000,320000.00000000,314980.00001000,1615418596,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:17,0.0,none,325000.00000000,303000.00000000,339.18011924,320000.00000000,319850.08236000,320000.00000000,314980.00001000,1615418597,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:18,0.0,none,325000.00000000,303000.00000000,339.18385924,320000.00000000,319850.08247000,320000.00000000,315000.00000000,1615418598,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:19,0.0,none,325000.00000000,303000.00000000,339.17790686,320000.00000000,319850.08248000,320000.00000000,314980.00001000,1615418600,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:21,0.0,none,325000.00000000,303000.00000000,339.17761686,320000.00000000,319850.08249000,320000.00000000,315000.00000000,1615418601,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:22,0.0,none,325000.00000000,303000.00000000,339.17594064,320000.00000000,319850.08260000,320000.00000000,314980.00001000,1615418602,7,21,0,0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:23,0.0,sell,325000.00000000,303000.00000000,338.94120046,320000.00000000,319850.08272000,320000.00000000,315000.00000000,1615418604,7,21,,320000.0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:25,0.0,sell,325000.00000000,303000.00000000,338.94120046,320000.00000000,319850.08283000,320000.00000000,315000.00000000,1615418605,7,21,320000.0,320000.0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:26,0.0,sell,325000.00000000,303000.00000000,338.94120046,320000.00000000,319850.08285000,320000.00000000,315000.00000000,1615418606,7,21,320000.0,320000.0,0,0,0,0
0,319850.08286,320000.0,10/03/2021 20:23:27,-0.04684910624999247,sell,325000.00000000,303000.00000000,338.94218310,319850.08286000,319850.08296000,320000.00000000,315000.00000000,1615418607,7,21,320000.0,319978.5832657143,0,0,0,0
0,319850.08286,319850.08286,10/03/2021 20:23:28,0.0,sell,325000.00000000,303000.00000000,338.94186564,319850.08286000,319850.08297000,320000.00000000,315000.00000000,1615418609,7,21,319978.5832657143,319957.1665314286,0,0,0,0
0,319850.08286,319850.08286,10/03/2021 20:23:30,0.0,sell,325000.00000000,303000.00000000,338.94186564,319850.08286000,319850.08308000,320000.00000000,315000.00000000,1615418610,7,21,319957.1665314286,319935.74979714287,0,0,0,0
0,319850.08286,319850.08286,10/03/2021 20:23:31,0.0,sell,325000.00000000,303000.00000000,338.94186564,319850.08286000,319850.08310000,320000.00000000,315000.00000000,1615418611,7,21,319935.74979714287,319914.3330628571,0,0,0,0
0,320000.0,319850.08286,10/03/2021 20:23:32,0.04687106492499969,sell,325000.00000000,303000.00000000,338.94059084,320000.00000000,319850.08330000,320000.00000000,314980.00001000,1615418612,7,21,319914.3330628571,319914.3330628571,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:33,0.0,sell,325000.00000000,303000.00000000,338.94046209,320000.00000000,319850.08340000,320000.00000000,314980.00001000,1615418613,7,21,319914.3330628571,319914.3330628571,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:34,0.0,sell,325000.00000000,303000.00000000,338.94046209,320000.00000000,319850.08342000,320000.00000000,314980.00001000,1615418615,7,21,319914.3330628571,319914.3330628571,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:36,0.0,sell,325000.00000000,303000.00000000,338.94046209,320000.00000000,319850.08353000,320000.00000000,314980.00001000,1615418616,7,21,319914.3330628571,319935.74979714287,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:37,0.0,sell,325000.00000000,303000.00000000,338.93287783,320000.00000000,319850.08356000,320000.00000000,314980.00002000,1615418617,7,21,319935.74979714287,319957.1665314286,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:38,0.0,sell,325000.00000000,303000.00000000,338.93347061,320000.00000000,319850.08368000,320000.00000000,314980.00002000,1615418618,7,21,319957.1665314286,319978.5832657143,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:39,0.0,sell,325000.00000000,303000.00000000,338.98102623,320000.00000000,320320.00000000,320000.00000000,314980.00002000,1615418620,7,21,319978.5832657143,320000.0,0,0,0,0
0,320000.0,320000.0,10/03/2021 20:23:41,0.0,sell,325000.00000000,303000.00000000,338.97941683,320000.00000000,320320.00000000,320000.00000000,314980.00002000,1615418621,7,21,320000.0,320000.0,,319971.4443542857,0,0
0,320000.0,320000.0,10/03/2021 20:23:42,0.0,sell,325000.00000000,303000.00000000,338.97941683,320000.00000000,320320.00000000,320413.51999000,314980.00002000,1615418622,7,21,320000.0,320000.0,319971.4443542857,319971.4443542857,0,0
